LINK_NAME	EXTERNAL_TRACKING	LINK_CATEGORY	LINK_URL
footer_privacypolicy_text		PrivacyPolicy	https://www.alaskaair.com/content/legal/privacy-policy?
footer_logo_img		Home	https://www.alaskaair.com/
footer_facebookc49_img	disable	Social_FB	https://www.facebook.com/AlaskaAirClub49
footer_travelagentsignin_text	disable	Travel Agent	https://updates.alaskaair.com/pub/cc?_ri_=X0Gzc2X%3DAQpglLjHJlYQGi8mYTcCGrajDyX9NXzau1Azbt3A1LRj8JpN7zaR2RBnrLLubrAhuhVXtpKX%3DTCRABTRY&_ei_=Eq2tf9zs59idfPO1Sc_9BbkSqJZenqMtd839RVIat8vJ-jnZGVvuTtpx4nPx-_F-6e50dqAUyDBex7vHHsmKdJb1yVuyXvwZG6cq.&_di_=pum4cd4c827saa901o7of2nnbtsp28spmrenijh1t0v398ufop50
footer_flightdeals_text		Deals	https://www.alaskaair.com/content/deals/flights
footer_easybizsignin_text		Deals	https://easybiz.alaskaair.com/signin
footer_managereservations_text		ManageReservation	https://www.alaskaair.com/booking/reservation-lookup
preheader_nopoints_text		EarnMiles	https://alaskaair.com/content/mileage-plan/how-to-earn-miles
preheader_else_text		Partner_Everyday	https://www.alaskaair.com/content/mileage-plan/how-to-earn-miles/everyday-partners?
webview			"${form(campaign.name,'CONTACTS_LIST.CUSTOMER_ID_','CONTACTS_LIST.COUNTRY_','CONTACTS_LIST.DATE_OF_BIRTH','CONTACTS_LIST.EMAIL_ADDRESS_','CONTACTS_LIST.FIRST_NAME','CONTACTS_LIST.MOBILE_NUMBER_','CONTACTS_LIST.RIID_','CONTACTS_LIST.STATE_','CONTACTS_LIST.LAST_NAME','ESTATEMENT.AAG_MILES','ESTATEMENT.AAG_MILES_TO_NEXT_TIER','ESTATEMENT.ALLIANCE_MILES','ESTATEMENT.ALLIANCE_MILES_TO_NEXT_TIER','ESTATEMENT.ALLIANCE_SEGMENTS','ESTATEMENT.ALLIANCE_SEGS_TO_NEXT_TIER','ESTATEMENT.NET_MILES','ESTATEMENT.NEXT_TIER','MEMBER_INFO.AVAILABLE_POINTS','MEMBER_INFO.BANK_CARD_DESIGNATOR','MEMBER_INFO.CURRENT_TIER','MEMBER_INFO.ENROLL_DATE','MEMBER_INFO.LOYALTY_STATUS','MEMBER_INFO.MEMBER_NUM','MEMBER_INFO.MINFO_MILLION_MILE','LAUNCH_DATE','deploy_date','utm_source','date_var','SBP.DUMMY','BAC.RECENT_PURCHASE_FLAG','MEMBER_INFO.TIER_START_DATE','SEGNUMBER','BAC_MEMBER_NUM_1')}"
primary_nopoints_cta			https://www.alaskaair.com/content/mileage-plan/how-to-earn-miles
primary_seg1_cta			https://www.alaskaair.com/content/mileage-plan/how-to-earn-miles/everyday-partners?
primary_seg2_cta			https://www.alaskaair.com/content/mileage-plan/how-to-earn-miles/everyday-partners?
primary_seg3_cta			https://www.alaskaair.com/content/mileage-plan/how-to-earn-miles/everyday-partners?
secondary_a_40k_img	disable	CreditCardUS 	https://secure.bankofamerica.com/applynow/initialize-workflow.go?requesttype=C&campaignid=4044922&productoffercode=MH&genericvariables=861~Aug2020estatement
secondary_a_40k_cta	disable	CreditCardUS 	https://secure.bankofamerica.com/applynow/initialize-workflow.go?requesttype=C&campaignid=4044922&productoffercode=MH&genericvariables=861~Aug2020estatement
secondary_a_getmore_img		"CreditCardCAN	"	https://www.alaskaair.com/content/mileage-plan/how-to-earn-miles/financial-partners
secondary_a_getmore_cta		"CreditCardCAN	"	https://www.alaskaair.com/content/mileage-plan/how-to-earn-miles/financial-partners
secondary_a_boost_img		"CreditCardCAN	"	https://www.alaskaair.com/content/mileage-plan/how-to-earn-miles/financial-partners
secondary_a_boost_cta		"CreditCardCAN	"	https://www.alaskaair.com/content/mileage-plan/how-to-earn-miles/financial-partners
secondary_b_memberbonus_cta		Partner_Shopping	https://www.mileageplanshopping.com/p/extra-rewards.htm?source=cl|AKA|ALL|cl||em||MemApprecBns|eState|20200805&utm_source=cl&utm_medium=em&utm_campaign=MemApprecBns&utm_content=eState&chan=cl&seg=&med=em&strm=&cam=MemApprecBns&cont=eState&end=1
secondary_b_memberbonus_img		Partner_Shopping	https://www.mileageplanshopping.com/p/extra-rewards.htm?source=cl|AKA|ALL|cl||em||MemApprecBns|eState|20200805&utm_source=cl&utm_medium=em&utm_campaign=MemApprecBns&utm_content=eState&chan=cl&seg=&med=em&strm=&cam=MemApprecBns&cont=eState&end=1
secondary_c_4xmiles_cta	disable		https://www.getyourguide.com/discovery
secondary_c_4xmiles_img	disable		https://www.getyourguide.com/discovery
secondary_d_uncf_cta		GiftMiles	https://www.alaskaair.com/content/mileage-plan/use-miles/share-gift-miles/donate-miles#united-negro-college-fund
secondary_e_nextlevelcare_cta		Info	https://www.alaskaair.com/content/advisories/coronavirus
secondary_e_nextlevelcare_img		Info	https://www.alaskaair.com/content/advisories/coronavirus
secondary_f_boost_cta		EarnMiles	https://www.alaskaair.com/content/deals/special-offers/status-boost?
secondary_g_buymiles_teaser_text		BuyMiles	https://storefront.points.com/mileage-plan/en-US/buy?
secondary_h_entertainment_text		IFE	https://www.alaskaair.com/content/travel-info/flight-experience/inflight-entertainment
disc_nopoints_primary_text		Terms	https://www.alaskaair.com/content/mileage-plan/terms-and-conditions
disc_a_40k_text	disable	CreditCardUS 	https://secure.bankofamerica.com/applynow/initialize-workflow.go?requesttype=C&campaignid=4044922&productoffercode=MH&genericvariables=861~Aug2020estatement
disc_a_getmore_text		Home	https://www.alaskaair.com
disc_a_getmore_text2		Baggage	https://www.alaskaair.com/freebagfaq
disc_a_boost_text		Home	https://www.alaskaair.com
disc_a_boost_text2		Terms	https://www.alaskaair.com/content/mileage-plan/how-to-earn-miles/financial-partners
disc_secondary_b_text	disable		https://www.mileageplanshopping.com/p/member-appreciation-bonus-terms.htm 
