LINK_NAME	EXTERNAL_TRACKING	LINK_CATEGORY	LINK_URL
footer_facebookc49_img	disable	Social_FB	https://www.facebook.com/AlaskaAirClub49
footer_travelagentsignin_text	disable	Travel Agent	https://updates.alaskaair.com/pub/cc?_ri_=X0Gzc2X%3DAQpglLjHJlYQGi8mYTcCGrajDyX9NXzau1Azbt3A1LRj8JpN7zaR2RBnrLLubrAhuhVXtpKX%3DTCRABTRY&_ei_=Eq2tf9zs59idfPO1Sc_9BbkSqJZenqMtd839RVIat8vJ-jnZGVvuTtpx4nPx-_F-6e50dqAUyDBex7vHHsmKdJb1yVuyXvwZG6cq.&_di_=pum4cd4c827saa901o7of2nnbtsp28spmrenijh1t0v398ufop50
footer_flightdeals_text		Deals	https://www.alaskaair.com/content/deals/flights
footer_easybizsignin_text		Deals	https://easybiz.alaskaair.com/signin
footer_managereservations_text		ManageReservation	https://www.alaskaair.com/booking/reservation-lookup
preheader_text_all		Deals	https://www.alaskaair.com/content/deals/flights?
webview			${form(campaign.name,'CONTACTS_LIST.RIID_','CONTACTS_LIST.CUSTOMER_ID_','CONTACTS_LIST.DATE_OF_BIRTH','CONTACTS_LIST.STATE_','CONTACTS_LIST.COUNTRY_','CURRENT_TIER','CONTACTS_LIST.MOBILE_NUMBER_','CONTACTS_LIST.EMAIL_ADDRESS_','CONTACTS_LIST.FIRST_NAME','CONTACTS_LIST.LAST_NAME','MEMBER_INFO.AVAILABLE_POINTS','PRIMARY_DEPART_CITY','MEMBER_INFO.BANK_CARD_DESIGNATOR','RECENT_PURCHASE_FLAG','MEMBER_INFO.CURRENT_TIER','MEMBER_INFO.LOYALTY_STATUS','MEMBER_INFO.MEMBER_NUM','MEMBER_INFO.MINFO_MILLION_MILE','date_var','Launch_Date','UTM_Source','Home_Airport_PET.HOME_AIRPORT','SEGNUMBER','dateCheck','ACODES','FARE_SL')}
primary_fares_1_mems_img		Book	https://www.alaskaair.com/content/deals/flights?q=${HOME_AIRPORT}&o=${HOME_AIRPORT}
primary_fares_1_mems_searchdeals_cta		Book	https://www.alaskaair.com/content/deals/flights?q=${HOME_AIRPORT}&o=${HOME_AIRPORT}
primary_fares_1_mems_fare1_cta		Book	https://www.alaskaair.com/content/deals/flights.aspx?q=${HOME_AIRPORT}&o=${HOME_AIRPORT}&d=${ARRIVAL}
primary_fares_1_mems_final_cta		Book	https://www.alaskaair.com/content/deals/flights?q=${HOME_AIRPORT}&o=${HOME_AIRPORT}
secondary_a_peaceofmind_nofees_text		Info	https://www.alaskaair.com/content/advisories/travel-advisories#peace-of-mind
secondary_a_peaceofmind_masks_text		Info	https://www.alaskaair.com/content/advisories/coronavirus#weve-got-you-covered
secondary_b_hotels_cta	disable	Hotel	https://www.alaskaair.com/hotels/mp/home/en/?utm_source=alaska&utm_medium=partneremail&utm_campaign=fare-alert-081120-home-tr&mode=earn
disc_fares_1_mems_text		Deals	https://www.alaskaair.com/content/deals/flights?
disc_b_peaceofmind_seesite_text		Info	https://www.alaskaair.com/content/advisories/travel-advisories#peace-of-mind
disc_b_peaceofmind_masks_text		Info	https://www.alaskaair.com/content/advisories/coronavirus#weve-got-you-covered
