"LINK_NAME","LINK_URL","LINK_CATEGORY","EXTERNAL_TRACKING","CREATED_DATE_","MODIFIED_DATE_","IOS_LINK_URL","ANDROID_LINK_URL"
"footer_earn_miles","https://www.alaskaair.com/content/mileage-plan/how-to-earn-miles?lid=nav:mileage-earn&int=AS_NAV_MP_EarnMiles_-prodID:MileagePlan","EarnMiles",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"footer_account_text","https://www.alaskaair.com/www2/ssl/myalaskaair/MyAlaskaAir.aspx?CurrentForm=UCSignInStart","MyAccount",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"bottomlink_book","http://www.alaskaair.com/planbook","Book",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"bottomlink_contact","https://www.alaskaair.com/content/about-us/help-contact","Contact",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"bottomlink_deals","https://www.alaskaair.com/content/deals/flights.aspx","Deals",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"bottomlink_explore","https://www.alaskaair.com/content/about-us/site-info/explore-as.aspx","Info",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"bottomlink_myaccount","https://www.alaskaair.com/www2/ssl/myalaskaair/MyAlaskaAir.aspx?CurrentForm=UCSignInStart","MyAccount",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"bottomlink_mileageplan","http://www.alaskaair.com/content/mileage-plan.aspx","MileagePlan",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"footer_privacy_text","https://www.alaskaair.com/content/legal/privacy-policy?","PrivacyPolicy",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"privacy_notice","https://www.alaskaair.com/content/legal/privacy-policy?","PrivacyPolicy",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"Privacy_Policy","https://www.alaskaair.com/content/legal/privacy-policy?","PrivacyPolicy",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"privacy_policy","https://www.alaskaair.com/content/legal/privacy-policy?","PrivacyPolicy",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"footer_contact_text","https://www.alaskaair.com/content/about-us/help-contact","Contact",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"footer_contact2_text","https://www.alaskaair.com/content/about-us/help-contact","Contact",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"Contact_AS","https://www.alaskaair.com/content/about-us/help-contact","Contact",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"contact_as","https://www.alaskaair.com/content/about-us/help-contact","Contact",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"unsubscribe","https://www.alaskaair.com/betaaccount/manage-preferences/?ContactId=${CUSTOMER_ID_}","Unsubscribe",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"Unsubscribe","https://www.alaskaair.com/betaaccount/manage-preferences/?ContactId=${CUSTOMER_ID_}","Unsubscribe",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
